Sample ID;Location;lake;type;Treatment;Year;Replicate;Initial weight green;Initial weight red tea ;FiNAl weight green tea;FiNAl weight red tea;incubation time;;;;;;;;;;;;;;;;;
161;NL Vinkeveen ;Vinkeveen ;pelagic;water 12 meter;2016;1;1.80;2.00;0.60;1.60;93.00;;;;;;;;;;;;;;;;;
162;NL Vinkeveen ;Vinkeveen ;pelagic;water 18 meter;2016;1;1.80;2.00;0.70;1.80;93.00;;;;;;;;;;;;;;;;;
163;IR Emy 3;Emy;sediment;in sediment;2016;1;1.98;2.22;1.19;2.03;90.00;;;;;;;;;;;;;;;;;
164;IR Emy 3;Emy;sediment;in sediment;2016;2;2.07;2.22;0.67;1.77;90.00;;;;;;;;;;;;;;;;;
165;IR Emy 3;Emy;sediment;in sediment;2016;3;2.01;2.22;1.20;1.46;90.00;;;;;;;;;;;;;;;;;
166;IR Emy 3;Emy;littoral;on top of sediment;2016;1;2.01;2.22;0.94;2.13;90.00;;;;;;;;;;;;;;;;;
167;IR Emy 3;Emy;littoral;on top of sediment;2016;2;2.04;2.22;1.29;1.99;90.00;;;;;;;;;;;;;;;;;
168;IR Emy 3;Emy;littoral;on top of sediment;2016;3;2.08;2.22;1.18;1.42;90.00;;;;;;;;;;;;;;;;;
169;IR Emy 4;Emy;sediment;in sediment;2016;1;1.93;2.22;0.56;1.69;90.00;;;;;;;;;;;;;;;;;
170;IR Emy 4;Emy;sediment;in sediment;2016;2;2.10;2.22;0.58;1.59;90.00;;;;;;;;;;;;;;;;;
171;IR Emy 4;Emy;sediment;in sediment;2016;3;2.03;2.22;0.41;1.44;90.00;;;;;;;;;;;;;;;;;
172;IR Emy 4;Emy;littoral;on top of sediment;2016;1;2.07;2.22;0.54;1.51;90.00;;;;;;;;;;;;;;;;;
173;IR Emy 4;Emy;littoral;on top of sediment;2016;2;2.04;2.22;NA;1.54;90.00;;;;;;;;;;;;;;;;;
174;IR Emy 4;Emy;littoral;on top of sediment;2016;3;1.94;2.22;NA;NA;90.00;;;;;;;;;;;;;;;;;
179;T Eymir;Eymir;littoral;on top of sediment;2016;1;2.27;2.50;0.65;1.61;80.00;;;;;;;;;;;;;;;;;
180;T Eymir;Eymir;littoral;on top of sediment;2016;2;2.43;2.42;0.68;1.58;80.00;;;;;;;;;;;;;;;;;
181;T Eymir;Eymir;littoral;on top of sediment;2016;3;2.43;2.4;0.68;1.57;80.00;;;;;;;;;;;;;;;;;
182;IT Tovel;Tovel;pelagic;water column;2017;1;2.1121;2.2498;0.703;1.680;84;;;;;;;;;;;;;;;;;
183;IT Tovel;Tovel;pelagic;water column;2017;2;2.1267;2.1838;0.778;1.652;84;;;;;;;;;;;;;;;;;
184;IT Tovel;Tovel;pelagic;water column;2017;3;2.1214;2.2080;0.770;1.643;84;;;;;;;;;;;;;;;;;
185;IT Casinei;Casinei;littoral;on top of sediment;2017;1;2.2691;2.2715;0.624;1.720;94;;;;;;;;;;;;;;;;;
186;IT Casinei;Casinei;littoral;on top of sediment;2017;2;2.516;2.2526;0.618;1.754;94;;;;;;;;;;;;;;;;;
187;IT Casinei;Casinei;littoral;on top of sediment;2017;3;2.2659;2.2672;0.625;1.744;94;;;;;;;;;;;;;;;;;
188;IT Maresse;Maresse;littoral;on top of sediment;2017;1;2.1975;2.295;0.719;1.894;79;;;;;;;;;;;;;;;;;
189;IT Maresse;Maresse;littoral;on top of sediment;2017;2;2.1266;2.3041;0.767;1.854;79;;;;;;;;;;;;;;;;;
190;IT Maresse;Maresse;littoral;on top of sediment;2017;3;2.1786;2.236;0.789;1.831;79;;;;;;;;;;;;;;;;;
191;IT Mare;Mare;littoral;on top of sediment;2017;1;2.0307;2.242;NA;1.757;94;;;;;;;;;;;;;;;;;
192;IT Mare;Mare;littoral;on top of sediment;2017;2;2.1624;2.1783;0.626;1.582;94;;;;;;;;;;;;;;;;;
193;IT Mare;Mare;littoral;on top of sediment;2017;3;2.2695;2.2438;0.963;1.728;94;;;;;;;;;;;;;;;;;
